,team,coach,year,num_games_coached
24,SDG,Marty Schottenheimer,2003,16
25,SEA,Mike Holmgren,2003,16
26,SFO,Dennis Erickson,2003,16
27,STL,Mike Martz,2003,16
28,TAM,Jon Gruden,2003,16
29,TEN,Jeff Fisher,2003,16
30,WAS,Steve Spurrier,2003,16
0,ATL,Jim Mora,2004,16
1,BAL,Brian Billick,2004,16
2,BUF,Mike Mularkey,2004,16
3,CAR,John Fox,2004,16
4,CHI,Lovie Smith,2004,16
5,CIN,Marvin Lewis,2004,16
6,CLE,Butch Davis,2004,11
7,DAL,Bill Parcells,2004,16
8,DEN,Mike Shanahan,2004,16
9,DET,Steve Mariucci,2004,16
10,GNB,Mike Sherman,2004,16
11,HOU,Dom Capers,2004,16
12,IND,Tony Dungy,2004,16
13,JAX,Jack Del Rio,2004,16
14,KAN,Dick Vermeil,2004,16
15,MIA,Dave Wannstedt,2004,9
16,MIN,Mike Tice,2004,16
17,NOR,Jim Haslett,2004,16
18,NWE,Bill Belichick,2004,16
19,NYG,Tom Coughlin,2004,16
20,NYJ,Herm Edwards,2004,16
21,OAK,Norv Turner,2004,16
22,PHI,Andy Reid,2004,16
23,PIT,Bill Cowher,2004,16
24,SDG,Marty Schottenheimer,2004,16
25,SEA,Mike Holmgren,2004,16
26,SFO,Dennis Erickson,2004,16
27,STL,Mike Martz,2004,16
28,TAM,Jon Gruden,2004,16
29,TEN,Jeff Fisher,2004,16
30,WAS,Joe Gibbs,2004,16
0,ATL,Jim Mora,2005,16
1,BAL,Brian Billick,2005,16
2,BUF,Mike Mularkey,2005,16
3,CAR,John Fox,2005,16
4,CHI,Lovie Smith,2005,16
5,CIN,Marvin Lewis,2005,16
6,CLE,Romeo Crennel,2005,16
7,DAL,Bill Parcells,2005,16
8,DEN,Mike Shanahan,2005,16
9,DET,Steve Mariucci,2005,11
10,GNB,Mike Sherman,2005,16
11,HOU,Dom Capers,2005,16
12,IND,Tony Dungy,2005,16
13,JAX,Jack Del Rio,2005,16
14,KAN,Dick Vermeil,2005,16
15,MIA,Nick Saban,2005,16
16,MIN,Mike Tice,2005,16
17,NOR,Jim Haslett,2005,16
18,NWE,Bill Belichick,2005,16
19,NYG,Tom Coughlin,2005,16
20,NYJ,Herm Edwards,2005,16
21,OAK,Norv Turner,2005,16
22,PHI,Andy Reid,2005,16
23,PIT,Bill Cowher,2005,16
24,SDG,Marty Schottenheimer,2005,16
25,SEA,Mike Holmgren,2005,16
26,SFO,Mike Nolan,2005,16
27,STL,Joe Vitt,2005,11
28,TAM,Jon Gruden,2005,16
29,TEN,Jeff Fisher,2005,16
30,WAS,Joe Gibbs,2005,16
0,ATL,Jim Mora,2006,16
1,BAL,Brian Billick,2006,16
2,BUF,Dick Jauron,2006,16
3,CAR,John Fox,2006,16
