,team,coach,year,num_games_coached
16,LAR,Sean McVay,2022,17
17,LVR,Josh McDaniels,2022,17
18,MIA,Mike McDaniel,2022,17
19,MIN,Kevin O'Connell,2022,17
20,NOR,Dennis Allen,2022,17
21,NWE,Bill Belichick,2022,17
22,NYG,Brian Daboll,2022,17
23,NYJ,Robert Saleh,2022,17
24,PHI,Nick Sirianni,2022,17
25,PIT,Mike Tomlin,2022,17
26,SEA,Pete Carroll,2022,17
27,SFO,Kyle Shanahan,2022,17
28,TAM,Todd Bowles,2022,17
29,TEN,Mike Vrabel,2022,17
30,WAS,Ron Rivera,2022,17
0,ATL,Arthur Smith,2023,17
1,BAL,John Harbaugh,2023,17
2,BUF,Sean McDermott,2023,17
3,CAR,Frank Reich,2023,11
4,CHI,Matt Eberflus,2023,17
5,CIN,Zac Taylor,2023,17
6,CLE,Kevin Stefanski,2023,17
7,DAL,Mike McCarthy,2023,17
8,DEN,Sean Payton,2023,17
9,DET,Dan Campbell,2023,17
10,GNB,Matt LaFleur,2023,17
11,HOU,DeMeco Ryans,2023,17
12,IND,Shane Steichen,2023,17
13,JAX,Doug Pederson,2023,17
14,KAN,Andy Reid,2023,17
15,LAC,Brandon Staley,2023,14
16,LAR,Sean McVay,2023,17
17,LVR,Antonio Pierce,2023,9
18,MIA,Mike McDaniel,2023,17
19,MIN,Kevin O'Connell,2023,17
20,NOR,Dennis Allen,2023,17
21,NWE,Bill Belichick,2023,17
22,NYG,Brian Daboll,2023,17
23,NYJ,Robert Saleh,2023,17
24,PHI,Nick Sirianni,2023,17
25,PIT,Mike Tomlin,2023,17
26,SEA,Pete Carroll,2023,17
27,SFO,Kyle Shanahan,2023,17
28,TAM,Todd Bowles,2023,17
29,TEN,Mike Vrabel,2023,17
30,WAS,Ron Rivera,2023,17
0,ATL,Raheem Morris,2024,17
1,BAL,John Harbaugh,2024,17
2,BUF,Sean McDermott,2024,17
3,CAR,Dave Canales,2024,17
4,CHI,Matt Eberflus,2024,12
5,CIN,Zac Taylor,2024,17
6,CLE,Kevin Stefanski,2024,17
7,DAL,Mike McCarthy,2024,17
8,DEN,Sean Payton,2024,17
9,DET,Dan Campbell,2024,17
10,GNB,Matt LaFleur,2024,17
11,HOU,DeMeco Ryans,2024,17
12,IND,Shane Steichen,2024,17
13,JAX,Doug Pederson,2024,17
14,KAN,Andy Reid,2024,17
15,LAC,Jim Harbaugh,2024,17
16,LAR,Sean McVay,2024,17
17,LVR,Antonio Pierce,2024,17
18,MIA,Mike McDaniel,2024,17
19,MIN,Kevin O'Connell,2024,17
20,NOR,Dennis Allen,2024,9
21,NWE,Jerod Mayo,2024,17
22,NYG,Brian Daboll,2024,17
23,NYJ,Jeff Ulbrich,2024,12
24,PHI,Nick Sirianni,2024,17
25,PIT,Mike Tomlin,2024,17
26,SEA,Mike Macdonald,2024,17
27,SFO,Kyle Shanahan,2024,17
28,TAM,Todd Bowles,2024,17
29,TEN,Brian Callahan,2024,17
30,WAS,Dan Quinn,2024,17
0,ATL,Raheem Morris,2024,17
1,BAL,John Harbaugh,2024,17
2,BUF,Sean McDermott,2024,17
3,CAR,Dave Canales,2024,17
4,CHI,Matt Eberflus,2024,12
5,CIN,Zac Taylor,2024,17
6,CLE,Kevin Stefanski,2024,17
7,DAL,Mike McCarthy,2024,17
8,DEN,Sean Payton,2024,17
9,DET,Dan Campbell,2024,17
10,GNB,Matt LaFleur,2024,17
11,HOU,DeMeco Ryans,2024,17
12,IND,Shane Steichen,2024,17
13,JAX,Doug Pederson,2024,17
14,KAN,Andy Reid,2024,17
15,LAC,Jim Harbaugh,2024,17
16,LAR,Sean McVay,2024,17
17,LVR,Antonio Pierce,2024,17
18,MIA,Mike McDaniel,2024,17
19,MIN,Kevin O'Connell,2024,17
20,NOR,Dennis Allen,2024,9
21,NWE,Jerod Mayo,2024,17
22,NYG,Brian Daboll,2024,17
23,NYJ,Jeff Ulbrich,2024,12
24,PHI,Nick Sirianni,2024,17
25,PIT,Mike Tomlin,2024,17
26,SEA,Mike Macdonald,2024,17
27,SFO,Kyle Shanahan,2024,17
28,TAM,Todd Bowles,2024,17
29,TEN,Brian Callahan,2024,17
30,WAS,Dan Quinn,2024,17
